title,artist,preview_url
Hips Don't Lie,Shakira,"https://cdnt-preview.dzcdn.net/api/1/1/1/b/2/0/1b2d53ae0adc963bcf7a3417fe9940f9.mp3?hdnea=exp=1751246522~acl=/api/1/1/1/b/2/0/1b2d53ae0adc963bcf7a3417fe9940f9.mp3*~data=user_id=0,application_id=42~hmac=a7e2498f461afcc60c564432df09f60703c46df9a8dd344d31eeb2f8c815abfd"
Tutti Frutti,Little Richard,"https://cdnt-preview.dzcdn.net/api/1/1/a/e/f/0/aef732b390ecc54a21e2117fdc3a1a14.mp3?hdnea=exp=1751246523~acl=/api/1/1/a/e/f/0/aef732b390ecc54a21e2117fdc3a1a14.mp3*~data=user_id=0,application_id=42~hmac=d72ffe691d55807b00e709dcea36444cec51f9f64c2b758f244a333b0e3da0fb"
Karma Chameleon,Culture Club,"https://cdnt-preview.dzcdn.net/api/1/1/4/2/8/0/42837917bfea49d8671bb27cac41cf57.mp3?hdnea=exp=1751246524~acl=/api/1/1/4/2/8/0/42837917bfea49d8671bb27cac41cf57.mp3*~data=user_id=0,application_id=42~hmac=a5aeaae8a29d4f5ca390908bd084c49f362fc79f8b002021d43c2c1787d3c2ae"
...Baby One More Time,Britney Spears,"https://cdnt-preview.dzcdn.net/api/1/1/1/0/f/0/10fd8e9cf7fc9f6f47e7ef391877ead3.mp3?hdnea=exp=1751246525~acl=/api/1/1/1/0/f/0/10fd8e9cf7fc9f6f47e7ef391877ead3.mp3*~data=user_id=0,application_id=42~hmac=be2f87cf50118d9a5d11bfa689cc4c0c323975ddfa1cd10c6af26f4ce721678e"
Girls Just Want to Have Fun,Cyndi Lauper,"https://cdnt-preview.dzcdn.net/api/1/1/a/6/f/0/a6fee1bea8f3ec24b4b86785b197b09b.mp3?hdnea=exp=1751246525~acl=/api/1/1/a/6/f/0/a6fee1bea8f3ec24b4b86785b197b09b.mp3*~data=user_id=0,application_id=42~hmac=a37f6938b71e38cced79be07f23a3f430de6023bcdd563668676a209db43d0e1"
Mr. Brightside,The Killers,"https://cdnt-preview.dzcdn.net/api/1/1/d/4/6/0/d46bb19a8e9e6e55446988860c5c99cc.mp3?hdnea=exp=1751246526~acl=/api/1/1/d/4/6/0/d46bb19a8e9e6e55446988860c5c99cc.mp3*~data=user_id=0,application_id=42~hmac=b54d3d42b241b5b551f527217cace4543d5e28bf87a153b1356bcc6c193a5f27"
MMMBop,Hanson,"https://cdnt-preview.dzcdn.net/api/1/1/f/b/b/0/fbb4abe90538b013c3f854a67ec0d75c.mp3?hdnea=exp=1751246527~acl=/api/1/1/f/b/b/0/fbb4abe90538b013c3f854a67ec0d75c.mp3*~data=user_id=0,application_id=42~hmac=6f19eabfa2fff2aad4ddc94dcadb4fe2c7facc67439eda0e694887bfef7934d0"
Levitating,Dua Lipa,"https://cdnt-preview.dzcdn.net/api/1/1/9/c/5/0/9c570bc806fc277bb73ba024e956d057.mp3?hdnea=exp=1751246527~acl=/api/1/1/9/c/5/0/9c570bc806fc277bb73ba024e956d057.mp3*~data=user_id=0,application_id=42~hmac=bb19ef59c7a93d7adf882cdd2a4af30a413bc42c220b0cf7ecaae87ed0c350a3"
Under Pressure,Queen & David Bowie,"https://cdnt-preview.dzcdn.net/api/1/1/b/a/e/0/bae65d938e2cac3e858b6d76ee21d2fd.mp3?hdnea=exp=1751246528~acl=/api/1/1/b/a/e/0/bae65d938e2cac3e858b6d76ee21d2fd.mp3*~data=user_id=0,application_id=42~hmac=0df1f9b5740de1378a045ff8c9400bcbeafb2950b2b535ba7bb8bd8276d15861"
Genie in a Bottle,Christina Aguilera,"https://cdnt-preview.dzcdn.net/api/1/1/8/e/2/0/8e22266bd0ab3e16cf5df4208f1ff06d.mp3?hdnea=exp=1751246529~acl=/api/1/1/8/e/2/0/8e22266bd0ab3e16cf5df4208f1ff06d.mp3*~data=user_id=0,application_id=42~hmac=76c50bc48125575c49e185a72ec8cbaa6f5a4b4c5a23881042056cdd82a8d403"
